Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1487466638,GHT7545,NY,PAS,06/21/2022,40,SUBN,AUDI,P,7480,5430,5580,20240226,72,72,72,971756,0072,0000,0509P,,K,F,209,23 STREET,,0,408,K2,,BBBBBBB,ALL,ALL,GRY,0,2009,-,0,,,,,
1488790929,KPF5731,NY,PAS,06/06/2022,63,SUBN,CHEVR,K,13235,0,0,20230625,110,110,3,160659,0003,0000,1051P,,Q,,,FMCP,111TH ST LOT,0,408,F3,,BBBBBBB,ALL,ALL,WHITE,0,2022,-,0,,,,,
4024888924,KVX2687,NY,PAS,06/28/2022,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0725P,,QN,,,EB JAMAICA AVE @ SUT,PHIN BLVD,0,1111,C,T,,,,GY,,0,,0,,BUS LANE VIOLATION,,,
4024897550,KLW6862,NY,PAS,06/29/2022,5,SUBN,ROVER,V,0,0,0,0,,0,0,0,,,0140P,,MN,,,EB W 181ST ST @ WADS,WORTH AVE,0,1111,C,T,,,,BK,,2021,,0,,BUS LANE VIOLATION,,,
4784621878,KSR2469,NY,PAS,06/23/2022,36,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,1249P,,QN,,,EB ASTORIA BLVD @ 11,0TH ST,0,1180,B,T,,,,BL,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784666497,K104688,TX,PAS,06/28/2022,36,PK,RAM,V,0,0,0,0,,0,0,0,,,0726A,,QN,,,EB QUEENS BLVD @ 51S,T AVE,0,1180,B,T,,,,,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784697895,JANF93,FL,PAS,06/28/2022,36,UT,FORD,V,0,0,0,0,,0,0,0,,,1132A,,QN,,,NB 164TH ST @ 59TH A,VE,0,1180,B,T,,,,SIL,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784651482,LCL2055,PA,PAS,06/27/2022,36,SDN,BMW,V,0,13550,0,0,,0,0,0,,,0615P,,BK,,,NB FLATBUSH AVE EXT,@ BRIDGE ST,0,1180,B,T,,,,,,2011,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784664245,KGK6539,NY,PAS,06/28/2022,36,SUBN,GMC,V,0,0,0,0,,0,0,0,,,0707A,,BX,,,WB E GUN HILL RD @ G,UNTHER AVE,0,1180,B,T,,,,RD,,2008,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784746018,JBN5188,NY,PAS,06/28/2022,36,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0509P,,BX,,,NB BAILEY AVE @ W 19,3RD ST,0,1180,B,T,,,,WH,,2012,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784709710,HHT6547,NY,PAS,06/28/2022,36,SUBN,CADIL,V,0,0,0,0,,0,0,0,,,0107P,,QN,,,EB QUEENS BLVD @ 51S,T AVE,0,1180,B,T,,,,GY,,2022,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784785176,KKP2504,NY,PAS,06/23/2022,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0921P,,QN,,,EB NORTHERN BLVD @ 4,1ST ST,0,1180,B,T,,,,BK,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784762462,JCY4738,NY,PAS,06/28/2022,36,SUBN,ACURA,V,0,0,0,0,,0,0,0,,,0714P,,BX,,,NB COMMERCE AVE @ GL,EASON AVE,0,1180,B,T,,,,GY,,2009,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784868483,JEEJE,VA,PAS,06/29/2022,36,4D,ME/BE,V,0,0,0,0,,0,0,0,,,0806A,,QN,,,WB N CONDUIT AVE @ S,PRINGFIELD BLVD,0,1180,B,T,,,,BRO,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784951222,KVY1717,NY,PAS,06/29/2022,36,SUBN,AUDI,V,0,0,0,0,,0,0,0,,,0615P,,QN,,,SB WILLETS POINT BLV,D @ 17TH AVE,0,1180,B,T,,,,WH,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
